from_asset,to_asset,milestone_year,operational_cost,commodity_price
wind,battery,2030,4,0
wind,electrolyzer,2030,4,0
solar,battery,2030,1,0
solar,electrolyzer,2030,1,0
market,battery,2030,0,872.96
market,electrolyzer,2030,0,872.96
battery,electrolyzer,2030,0,0
electrolyzer,H2_storage,2030,0,0
H2_storage,H2_hub,2030,0,0
electrolyzer,H2_hub,2030,0,0
H2_hub,CH3OH_synthesis,2030,0,0
CH3OH_synthesis,CH3OH_demand,2030,0,0
CH3OH_storage,CH3OH_demand,2030,0,0
CO2,CH3OH_synthesis,2030,0,50
CH3OH_synthesis,CH3OH_storage,2030,0,0
