from_asset,to_asset,year,profile_type,profile_name
wind,battery,2030,commodity_price,dummy_flat_1pu
wind,electrolyzer,2030,commodity_price,dummy_flat_1pu
solar,battery,2030,commodity_price,dummy_flat_1pu
solar,electrolyzer,2030,commodity_price,dummy_flat_1pu
market,battery,2030,commodity_price,market_price
market,electrolyzer,2030,commodity_price,market_price
battery,electrolyzer,2030,commodity_price,dummy_flat_1pu
electrolyzer,H2_storage,2030,commodity_price,dummy_flat_1pu
H2_storage,H2_hub,2030,commodity_price,dummy_flat_1pu
electrolyzer,H2_hub,2030,commodity_price,dummy_flat_1pu
H2_hub,CH3OH_synthesis,2030,commodity_price,dummy_flat_1pu
CH3OH_synthesis,CH3OH_demand,2030,commodity_price,dummy_flat_1pu
CH3OH_storage,CH3OH_demand,2030,commodity_price,dummy_flat_1pu
CO2,CH3OH_synthesis,2030,commodity_price,dummy_flat_1pu
CH3OH_synthesis,CH3OH_storage,2030,commodity_price,dummy_flat_1pu



