asset,milestone_year,commission_year,initial_units,initial_storage_units
wind,2030,2030,0,0
solar,2030,2030,0,0
market,2030,2030,1,0
battery,2030,2030,0,0
H2_storage,2030,2030,0,0
H2_hub,2030,2030,1,0
E_hub,2030,2030,1,0
H2_demand,2030,2030,1,0
electrolyzer_option_1,2030,2030,0,0
electrolyzer_option_2,2030,2030,0,0
electrolyzer_option_3,2030,2030,0,0
electrolyzer_option_4,2030,2030,0,0
electrolyzer_option_5,2030,2030,0,0
electrolyzer_option_6,2030,2030,0,0
electrolyzer_option_7,2030,2030,0,0
electrolyzer_option_8,2030,2030,0,0
electrolyzer_option_9,2030,2030,0,0
electrolyzer_option_10,2030,2030,0,0
