asset,commission_year,investment_cost,investment_cost_storage_energy,investment_limit,conversion_efficiency,storage_charging_efficiency,storage_discharging_efficiency
wind,2030,266000.0,,,0.0,0.0,0.0
solar,2030,266000.0,,,0.0,0.0,0.0
market,2030,0.0,,,0.0,0.0,0.0
battery,2030,250000.0,265000,,0.0,0.9,0.9
H2_storage,2030,5.0,12200,100000.0,0.0,1.0,1.0
H2_hub,2030,0.0,,,0.0,0.0,0.0
E_hub,2030,0.0,,,0.0,0.0,0.0
H2_demand,2030,0.0,,,0.0,0.0,0.0
electrolyzer_option_1,2030,1.5125e8,,20.0,0.021,0.0,0.0
electrolyzer_option_2,2030,1.5068877551e8,,21.63,0.021,0.0,0.0
electrolyzer_option_3,2030,1.5012755102e8,,23.27,0.021,0.0,0.0
electrolyzer_option_4,2030,1.4956632653e8,,24.9,0.021,0.0,0.0
electrolyzer_option_5,2030,1.4900510204e8,,26.53,0.021,0.0,0.0
electrolyzer_option_6,2030,1.4844387755e8,,28.16,0.021,0.0,0.0
electrolyzer_option_7,2030,1.4788265306e8,,29.8,0.021,0.0,0.0
electrolyzer_option_8,2030,1.4732142857e8,,31.43,0.021,0.0,0.0
electrolyzer_option_9,2030,1.4676020408e8,,33.06,0.021,0.0,0.0
electrolyzer_option_10,2030,1.4619897959e8,,34.69,0.021,0.0,0.0
electrolyzer_option_11,2030,1.456377551e8,,36.33,0.021,0.0,0.0
electrolyzer_option_12,2030,1.4507653061e8,,37.96,0.021,0.0,0.0
electrolyzer_option_13,2030,1.4451530612e8,,39.59,0.021,0.0,0.0
electrolyzer_option_14,2030,1.4395408163e8,,41.22,0.021,0.0,0.0
electrolyzer_option_15,2030,1.4339285714e8,,42.86,0.021,0.0,0.0
electrolyzer_option_16,2030,1.4283163265e8,,44.49,0.021,0.0,0.0
electrolyzer_option_17,2030,1.4227040816e8,,46.12,0.021,0.0,0.0
electrolyzer_option_18,2030,1.4170918367e8,,47.76,0.021,0.0,0.0
electrolyzer_option_19,2030,1.4114795918e8,,49.39,0.021,0.0,0.0
electrolyzer_option_20,2030,1.4058673469e8,,51.02,0.021,0.0,0.0
electrolyzer_option_21,2030,1.400255102e8,,52.65,0.021,0.0,0.0
electrolyzer_option_22,2030,1.3946428571e8,,54.29,0.021,0.0,0.0
electrolyzer_option_23,2030,1.3890306122e8,,55.92,0.021,0.0,0.0
electrolyzer_option_24,2030,1.3834183673e8,,57.55,0.021,0.0,0.0
electrolyzer_option_25,2030,1.3778061224e8,,59.18,0.021,0.0,0.0
electrolyzer_option_26,2030,1.3721938776e8,,60.82,0.021,0.0,0.0
electrolyzer_option_27,2030,1.3665816327e8,,62.45,0.021,0.0,0.0
electrolyzer_option_28,2030,1.3609693878e8,,64.08,0.021,0.0,0.0
electrolyzer_option_29,2030,1.3553571429e8,,65.71,0.021,0.0,0.0
electrolyzer_option_30,2030,1.349744898e8,,67.35,0.021,0.0,0.0
electrolyzer_option_31,2030,1.3441326531e8,,68.98,0.021,0.0,0.0
electrolyzer_option_32,2030,1.3385204082e8,,70.61,0.021,0.0,0.0
electrolyzer_option_33,2030,1.3329081633e8,,72.24,0.021,0.0,0.0
electrolyzer_option_34,2030,1.3272959184e8,,73.88,0.021,0.0,0.0
electrolyzer_option_35,2030,1.3216836735e8,,75.51,0.021,0.0,0.0
electrolyzer_option_36,2030,1.3160714286e8,,77.14,0.021,0.0,0.0
electrolyzer_option_37,2030,1.3104591837e8,,78.78,0.021,0.0,0.0
electrolyzer_option_38,2030,1.3048469388e8,,80.41,0.021,0.0,0.0
electrolyzer_option_39,2030,1.2992346939e8,,82.04,0.021,0.0,0.0
electrolyzer_option_40,2030,1.293622449e8,,83.67,0.021,0.0,0.0
electrolyzer_option_41,2030,1.2880102041e8,,85.31,0.021,0.0,0.0
electrolyzer_option_42,2030,1.2823979592e8,,86.94,0.021,0.0,0.0
electrolyzer_option_43,2030,1.2767857143e8,,88.57,0.021,0.0,0.0
electrolyzer_option_44,2030,1.2711734694e8,,90.2,0.021,0.0,0.0
electrolyzer_option_45,2030,1.2655612245e8,,91.84,0.021,0.0,0.0
electrolyzer_option_46,2030,1.2599489796e8,,93.47,0.021,0.0,0.0
electrolyzer_option_47,2030,1.2543367347e8,,95.1,0.021,0.0,0.0
electrolyzer_option_48,2030,1.2487244898e8,,96.73,0.021,0.0,0.0
electrolyzer_option_49,2030,1.2431122449e8,,98.37,0.021,0.0,0.0
electrolyzer_option_50,2030,1.2375e8,,100.0,0.021,0.0,0.0
