asset,type,capacity,investment_method,investment_integer,technical_lifetime,economic_lifetime,discount_rate,capacity_storage_energy,storage_method_energy,is_seasonal,unit_commitment,unit_commitment_method,min_operating_point,unit_commitment_integer,ramping,max_ramp_up,max_ramp_down
wind,producer,10.0,simple,false,15,15,0.072,0,false,false,false,,,false,false,,
solar,producer,10.0,simple,false,15,15,0.072,0,false,false,false,,,false,false,,
market,producer,1.0,none,false,0,0,0.0,0,false,false,false,,,false,false,,
battery,storage,10.0,simple,false,15,15,0.072,40,true,false,false,,,false,false,,
H2_storage,storage,10.0,simple,false,15,15,0.072,10,true,true,false,,,false,false,,
H2_hub,consumer,1.0,none,false,0,0,0.0,0,false,false,false,,,false,false,,
E_hub,consumer,1.0,none,false,0,0,0.0,0,false,false,false,,,false,false,,
H2_demand,consumer,1.0,none,false,0,0,0.0,0,false,false,false,,,false,false,,
electrolyzer_option_1,conversion,20.0,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_2,conversion,21.63,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_3,conversion,23.27,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_4,conversion,24.9,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_5,conversion,26.53,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_6,conversion,28.16,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_7,conversion,29.8,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_8,conversion,31.43,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_9,conversion,33.06,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_10,conversion,34.69,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_11,conversion,36.33,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
