from_asset,to_asset,milestone_year,operational_cost,commodity_price
wind,battery,2030,4,0.0
wind,E_hub,2030,4,0.0
solar,battery,2030,1,0.0
solar,E_hub,2030,1,0.0
market,battery,2030,0,872.96
market,E_hub,2030,0,872.96
battery,E_hub,2030,0,0.0
H2_storage,H2_hub,2030,0,0.0
H2_hub,H2_demand,2030,0,0.0
electrolyzer_option_1,H2_storage,2030,0,0.0
electrolyzer_option_1,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_1,2030,0,0.0
electrolyzer_option_2,H2_storage,2030,0,0.0
electrolyzer_option_2,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_2,2030,0,0.0
electrolyzer_option_3,H2_storage,2030,0,0.0
electrolyzer_option_3,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_3,2030,0,0.0
electrolyzer_option_4,H2_storage,2030,0,0.0
electrolyzer_option_4,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_4,2030,0,0.0
electrolyzer_option_5,H2_storage,2030,0,0.0
electrolyzer_option_5,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_5,2030,0,0.0
electrolyzer_option_6,H2_storage,2030,0,0.0
electrolyzer_option_6,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_6,2030,0,0.0
electrolyzer_option_7,H2_storage,2030,0,0.0
electrolyzer_option_7,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_7,2030,0,0.0
electrolyzer_option_8,H2_storage,2030,0,0.0
electrolyzer_option_8,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_8,2030,0,0.0
electrolyzer_option_9,H2_storage,2030,0,0.0
electrolyzer_option_9,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_9,2030,0,0.0
electrolyzer_option_10,H2_storage,2030,0,0.0
electrolyzer_option_10,H2_hub,2030,0,0.0
E_hub,electrolyzer_option_10,2030,0,0.0
