from_asset,to_asset
wind,battery
wind,E_hub
solar,battery
solar,E_hub
market,battery
market,E_hub
battery,E_hub
H2_storage,H2_hub
H2_hub,H2_demand
electrolyzer_option_1,H2_storage
electrolyzer_option_1,H2_hub
E_hub,electrolyzer_option_1
electrolyzer_option_2,H2_storage
electrolyzer_option_2,H2_hub
E_hub,electrolyzer_option_2
electrolyzer_option_3,H2_storage
electrolyzer_option_3,H2_hub
E_hub,electrolyzer_option_3
electrolyzer_option_4,H2_storage
electrolyzer_option_4,H2_hub
E_hub,electrolyzer_option_4
electrolyzer_option_5,H2_storage
electrolyzer_option_5,H2_hub
E_hub,electrolyzer_option_5
electrolyzer_option_6,H2_storage
electrolyzer_option_6,H2_hub
E_hub,electrolyzer_option_6
electrolyzer_option_7,H2_storage
electrolyzer_option_7,H2_hub
E_hub,electrolyzer_option_7
electrolyzer_option_8,H2_storage
electrolyzer_option_8,H2_hub
E_hub,electrolyzer_option_8
electrolyzer_option_9,H2_storage
electrolyzer_option_9,H2_hub
E_hub,electrolyzer_option_9
electrolyzer_option_10,H2_storage
electrolyzer_option_10,H2_hub
E_hub,electrolyzer_option_10
electrolyzer_option_11,H2_storage
electrolyzer_option_11,H2_hub
E_hub,electrolyzer_option_11
electrolyzer_option_12,H2_storage
electrolyzer_option_12,H2_hub
E_hub,electrolyzer_option_12
electrolyzer_option_13,H2_storage
electrolyzer_option_13,H2_hub
E_hub,electrolyzer_option_13
electrolyzer_option_14,H2_storage
electrolyzer_option_14,H2_hub
E_hub,electrolyzer_option_14
electrolyzer_option_15,H2_storage
electrolyzer_option_15,H2_hub
E_hub,electrolyzer_option_15
electrolyzer_option_16,H2_storage
electrolyzer_option_16,H2_hub
E_hub,electrolyzer_option_16
electrolyzer_option_17,H2_storage
electrolyzer_option_17,H2_hub
E_hub,electrolyzer_option_17
electrolyzer_option_18,H2_storage
electrolyzer_option_18,H2_hub
E_hub,electrolyzer_option_18
electrolyzer_option_19,H2_storage
electrolyzer_option_19,H2_hub
E_hub,electrolyzer_option_19
electrolyzer_option_20,H2_storage
electrolyzer_option_20,H2_hub
E_hub,electrolyzer_option_20
electrolyzer_option_21,H2_storage
electrolyzer_option_21,H2_hub
E_hub,electrolyzer_option_21
electrolyzer_option_22,H2_storage
electrolyzer_option_22,H2_hub
E_hub,electrolyzer_option_22
electrolyzer_option_23,H2_storage
electrolyzer_option_23,H2_hub
E_hub,electrolyzer_option_23
electrolyzer_option_24,H2_storage
electrolyzer_option_24,H2_hub
E_hub,electrolyzer_option_24
electrolyzer_option_25,H2_storage
electrolyzer_option_25,H2_hub
E_hub,electrolyzer_option_25
electrolyzer_option_26,H2_storage
electrolyzer_option_26,H2_hub
E_hub,electrolyzer_option_26
electrolyzer_option_27,H2_storage
electrolyzer_option_27,H2_hub
E_hub,electrolyzer_option_27
electrolyzer_option_28,H2_storage
electrolyzer_option_28,H2_hub
E_hub,electrolyzer_option_28
electrolyzer_option_29,H2_storage
electrolyzer_option_29,H2_hub
E_hub,electrolyzer_option_29
electrolyzer_option_30,H2_storage
electrolyzer_option_30,H2_hub
E_hub,electrolyzer_option_30
electrolyzer_option_31,H2_storage
electrolyzer_option_31,H2_hub
E_hub,electrolyzer_option_31
electrolyzer_option_32,H2_storage
electrolyzer_option_32,H2_hub
E_hub,electrolyzer_option_32
electrolyzer_option_33,H2_storage
electrolyzer_option_33,H2_hub
E_hub,electrolyzer_option_33
electrolyzer_option_34,H2_storage
electrolyzer_option_34,H2_hub
E_hub,electrolyzer_option_34
electrolyzer_option_35,H2_storage
electrolyzer_option_35,H2_hub
E_hub,electrolyzer_option_35
electrolyzer_option_36,H2_storage
electrolyzer_option_36,H2_hub
E_hub,electrolyzer_option_36
electrolyzer_option_37,H2_storage
electrolyzer_option_37,H2_hub
E_hub,electrolyzer_option_37
electrolyzer_option_38,H2_storage
electrolyzer_option_38,H2_hub
E_hub,electrolyzer_option_38
electrolyzer_option_39,H2_storage
electrolyzer_option_39,H2_hub
E_hub,electrolyzer_option_39
electrolyzer_option_40,H2_storage
electrolyzer_option_40,H2_hub
E_hub,electrolyzer_option_40
electrolyzer_option_41,H2_storage
electrolyzer_option_41,H2_hub
E_hub,electrolyzer_option_41
electrolyzer_option_42,H2_storage
electrolyzer_option_42,H2_hub
E_hub,electrolyzer_option_42
electrolyzer_option_43,H2_storage
electrolyzer_option_43,H2_hub
E_hub,electrolyzer_option_43
electrolyzer_option_44,H2_storage
electrolyzer_option_44,H2_hub
E_hub,electrolyzer_option_44
electrolyzer_option_45,H2_storage
electrolyzer_option_45,H2_hub
E_hub,electrolyzer_option_45
electrolyzer_option_46,H2_storage
electrolyzer_option_46,H2_hub
E_hub,electrolyzer_option_46
electrolyzer_option_47,H2_storage
electrolyzer_option_47,H2_hub
E_hub,electrolyzer_option_47
electrolyzer_option_48,H2_storage
electrolyzer_option_48,H2_hub
E_hub,electrolyzer_option_48
electrolyzer_option_49,H2_storage
electrolyzer_option_49,H2_hub
E_hub,electrolyzer_option_49
electrolyzer_option_50,H2_storage
electrolyzer_option_50,H2_hub
E_hub,electrolyzer_option_50
