asset,commission_year,investment_cost,investment_cost_storage_energy,investment_limit,conversion_efficiency,storage_charging_efficiency,storage_discharging_efficiency
wind,2030,266000,,,0,0,0
solar,2030,266000,,,0,0,0
market,2030,0.0,,,0,0,0
battery,2030,250000,265000,,0,0.9,0.9
electrolyzer,2030,137500000,,,0.021,0,0
H2_storage,2030,5,12200,,0,1,1
H2_hub,2030,0.0,,,0,0,0
CH3OH_synthesis,2030,3942000,,,0.473,0,0
DAC,2030,31500000,,,2.5,0,0
CO2_storage,2030,5,300000,,0,1,1
CO2_hub,2030,0.0,,,0,0,0
E_hub,2030,0.0,,,0,0,0
CH3OH_demand,2030,0.0,,,0,0,0
CH3OH_storage,2030,1,100,,0,1,1
