from_asset,to_asset,milestone_year,operational_cost,commodity_price
market,battery,2030,0,872.96
market,E_hub,2030,0,872.96
battery,E_hub,2030,0,0
E_hub,electrolyzer,2030,0,0
E_hub,DAC,2030,0,0
E_hub,CH3OH_synthesis,2030,0,0
electrolyzer,H2_storage,2030,0,0
H2_storage,H2_hub,2030,0,0
electrolyzer,H2_hub,2030,0,0
H2_hub,CH3OH_synthesis,2030,0,0
CH3OH_synthesis,CH3OH_demand,2030,30,0
CH3OH_storage,CH3OH_demand,2030,0,0
CO2_hub,CH3OH_synthesis,2030,0,0
DAC,CO2_hub,2030,0,0
DAC,CO2_storage,2030,0,0
CO2_storage,CO2_hub,2030,0,0
CH3OH_synthesis,CH3OH_storage,2030,30,0
