id,asset,year,rep_period,time_block_start,time_block_end,flow_1_from_asset,flow_1_to_asset,flow_2_from_asset,flow_2_to_asset,sense,constant,ratio,dual_flows_relationships
1,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,1,1,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
2,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,2,2,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
3,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,3,3,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
4,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,4,4,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
5,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,5,5,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
6,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,6,6,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
7,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,7,7,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
8,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,8,8,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
9,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,9,9,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
10,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,10,10,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
11,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,11,11,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
12,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,12,12,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
13,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,13,13,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
14,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,14,14,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
15,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,15,15,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
16,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,16,16,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
17,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,17,17,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
18,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,18,18,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
19,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,19,19,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
20,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,20,20,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
21,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,21,21,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
22,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,22,22,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
23,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,23,23,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
24,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,24,24,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
25,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,25,25,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
26,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,26,26,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
27,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,27,27,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
28,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,28,28,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
29,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,29,29,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
30,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,30,30,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
31,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,31,31,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
32,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,32,32,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
33,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,33,33,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
34,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,34,34,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
35,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,35,35,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
36,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,36,36,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
37,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,37,37,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
38,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,38,38,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
39,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,39,39,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
40,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,40,40,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
41,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,41,41,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
42,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,42,42,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
43,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,43,43,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
44,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,44,44,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
45,H2_hub_CH3OH_synthesis_CO2_CH3OH_synthesis,2030,1,45,45,H2_hub,CH3OH_synthesis,CO2,CH3OH_synthesis,==,0.0,7.0,914.6612146474799
