id,asset,year,rep_period,time_block_start,time_block_end,solution
1,CH3OH_storage,2030,1,1,1,19.849470300003844
2,CH3OH_storage,2030,1,2,2,39.6473782187968
3,CH3OH_storage,2030,1,3,3,59.458782431902364
4,CH3OH_storage,2030,1,4,4,79.38523764628917
5,CH3OH_storage,2030,1,5,5,99.2573317096394
6,CH3OH_storage,2030,1,6,6,119.15473215701059
7,CH3OH_storage,2030,1,7,7,139.05460408187355
8,CH3OH_storage,2030,1,8,8,158.79084068190423
9,CH3OH_storage,2030,1,9,9,178.5293427212746
10,CH3OH_storage,2030,1,10,10,198.4165494471494
11,CH3OH_storage,2030,1,11,11,218.32713674367403
12,CH3OH_storage,2030,1,12,12,238.26873418875715
13,CH3OH_storage,2030,1,13,13,258.22867784946266
14,CH3OH_storage,2030,1,14,14,278.1826467717639
15,CH3OH_storage,2030,1,15,15,298.15960485351536
16,CH3OH_storage,2030,1,16,16,318.1298693708478
17,CH3OH_storage,2030,1,17,17,338.11970081339757
18,CH3OH_storage,2030,1,18,18,358.1099859074087
19,CH3OH_storage,2030,1,19,19,378.10052792627977
20,CH3OH_storage,2030,1,20,20,397.6056272280935
21,CH3OH_storage,2030,1,21,21,406.8611343083779
22,CH3OH_storage,2030,1,22,22,416.7047306718303
23,CH3OH_storage,2030,1,23,23,422.91914724031676
24,CH3OH_storage,2030,1,24,24,424.7703656167839
25,CH3OH_storage,2030,1,25,25,435.54363023043146
26,CH3OH_storage,2030,1,26,26,445.5764117503407
27,CH3OH_storage,2030,1,27,27,453.716130961063
28,CH3OH_storage,2030,1,28,28,458.22274968957197
29,CH3OH_storage,2030,1,29,29,476.5100797995601
30,CH3OH_storage,2030,1,30,30,496.48985494743533
31,CH3OH_storage,2030,1,31,31,516.4804467095076
32,CH3OH_storage,2030,1,32,32,536.4710309161676
33,CH3OH_storage,2030,1,33,33,556.4603370329388
34,CH3OH_storage,2030,1,34,34,576.4336966555694
35,CH3OH_storage,2030,1,35,35,596.4067173464862
36,CH3OH_storage,2030,1,36,36,616.2585216563044
37,CH3OH_storage,2030,1,37,37,636.2475663149684
38,CH3OH_storage,2030,1,38,38,656.235735158401
39,CH3OH_storage,2030,1,39,39,676.2238218724594
40,CH3OH_storage,2030,1,40,40,696.2115433538011
41,CH3OH_storage,2030,1,41,41,716.1929020752642
42,CH3OH_storage,2030,1,42,42,736.172390566711
43,CH3OH_storage,2030,1,43,43,756.1584056683839
44,CH3OH_storage,2030,1,44,44,776.1323155700738
45,CH3OH_storage,2030,1,45,45,796.1171990343373
46,CH3OH_storage,2030,1,46,46,816.0391913687407
47,CH3OH_storage,2030,1,47,47,835.9900613876176
48,CH3OH_storage,2030,1,48,48,855.7556121707556
49,CH3OH_storage,2030,1,49,49,875.4799379695214
50,CH3OH_storage,2030,1,50,50,895.0597979948333
51,CH3OH_storage,2030,1,51,51,914.4579456974209
52,CH3OH_storage,2030,1,52,52,933.9874376275784
53,CH3OH_storage,2030,1,53,53,953.8393539616997
54,CH3OH_storage,2030,1,54,54,973.7485976200285
55,CH3OH_storage,2030,1,55,55,993.6616327476335
56,CH3OH_storage,2030,1,56,56,1013.1083179302236
57,CH3OH_storage,2030,1,57,57,1032.5030369050078
58,CH3OH_storage,2030,1,58,58,1051.57022320028
59,CH3OH_storage,2030,1,59,59,1067.8580470030445
60,CH3OH_storage,2030,1,60,60,1079.3259822430412
61,CH3OH_storage,2030,1,61,61,1090.823047191563
62,CH3OH_storage,2030,1,62,62,1101.4906031734158
63,CH3OH_storage,2030,1,63,63,1109.845469285143
64,CH3OH_storage,2030,1,64,64,1118.403177430806
65,CH3OH_storage,2030,1,65,65,1132.8417222530568
66,CH3OH_storage,2030,1,66,66,1149.603343391207
67,CH3OH_storage,2030,1,67,67,1167.8660049982007
68,CH3OH_storage,2030,1,68,68,1186.9964791029013
69,CH3OH_storage,2030,1,69,69,1206.2697413527942
70,CH3OH_storage,2030,1,70,70,1225.7422535077123
71,CH3OH_storage,2030,1,71,71,1244.9948851936897
72,CH3OH_storage,2030,1,72,72,1264.1347990305771
73,CH3OH_storage,2030,1,73,73,1282.8006263844063
74,CH3OH_storage,2030,1,74,74,1301.5033205157251
75,CH3OH_storage,2030,1,75,75,1319.734338667245
76,CH3OH_storage,2030,1,76,76,1337.4962711201993
77,CH3OH_storage,2030,1,77,77,1354.897959552103
78,CH3OH_storage,2030,1,78,78,1372.2933232462303
79,CH3OH_storage,2030,1,79,79,1389.0102694762104
